"name","deathsper100000livebirths","deathsper1000livebirths","years","region"
"Afghanistan",521,101.3,54.4,"South Asia"
"Albania",7,10.3,79.9,"Europe"
"Algeria",62,18.7,77.9,"Africa"
"American Samoa",NA,9.7,75.8,"Australia and Oceania"
"Andorra",11,3.3,83.8,"Europe"
"Angola",183,55.6,62.9,"Africa"
"Anguilla",NA,3,82.6,"Central America and the Caribbean"
"Antigua and Barbuda",35,13.6,78.3,"Central America and the Caribbean"
"Argentina",33,9,78.8,"South America"
"Armenia",19,11.6,76.7,"Central Asia"
"Aruba",NA,11.5,78.5,"Central America and the Caribbean"
"Australia",2,2.9,83.5,"Australia and Oceania"
"Austria",6,3.2,82.7,"Europe"
"Azerbaijan",18,10.9,75.9,"Central Asia"
"Bahrain",17,9.7,80.4,"Middle East"
"Bangladesh",115,28.8,75.2,"South Asia"
"Barbados",35,9.6,79,"Central America and the Caribbean"
"Belarus",1,2.1,74.7,"Europe"
"Belgium",4,3.1,82.3,"Europe"
"Belize",67,11.3,74.3,"Central America and the Caribbean"
"Benin",518,52.9,63,"Africa"
"Bermuda",NA,2.1,82.5,"North America"
"Bhutan",47,24.3,73.7,"South Asia"
"Bolivia",146,22.3,72.5,"South America"
"Bosnia and Herzegovina",6,5,78.5,"Europe"
"Botswana",155,23.7,66.4,"Africa"
"Brazil",67,12.9,76.3,"South America"
"British Virgin Islands",NA,13.4,80.1,"Central America and the Caribbean"
"Brunei",36,10,78.9,"East and Southeast Asia"
"Bulgaria",6,7.7,76.1,"Europe"
"Burkina Faso",242,47,64.2,"Africa"
"Burma",185,32.1,70.3,"East and Southeast Asia"
"Burundi",392,35.7,68.1,"Africa"
"Cabo Verde",40,22.4,74.3,"Africa"
"Cambodia",137,27.9,71.4,"East and Southeast Asia"
"Cameroon",258,46.1,64.2,"Africa"
"Canada",12,4.3,84.2,"North America"
"Cayman Islands",NA,7.3,82.5,"Central America and the Caribbean"
"Central African Republic",692,80.5,56.4,"Africa"
"Chad",748,62.5,60,"Africa"
"Chile",10,6.3,80.3,"South America"
"China",16,6.2,78.7,"East and Southeast Asia"
"Colombia",59,11.7,74.9,"South America"
"Comoros",179,54.9,67.8,"Africa"
"Cook Islands",0,15.1,77.6,"Australia and Oceania"
"Costa Rica",24,6.7,80.3,"Central America and the Caribbean"
"Cote d'Ivoire",359,52.5,63.2,"Africa"
"Croatia",3,8.4,77.7,"Europe"
"Cuba",35,4,80.1,"Central America and the Caribbean"
"Curacao",NA,7.5,79.9,"Central America and the Caribbean"
"Cyprus",14,8.1,80.2,"Europe"
"Czechia",3,2.6,78.6,"Europe"
"Democratic Republic of the Congo",427,57.4,62.6,"Africa"
"Denmark",4,3,82.1,"Europe"
"Djibouti",162,45.2,65.9,"Africa"
"Dominica",36,10.7,78.7,"Central America and the Caribbean"
"Dominican Republic",124,21.7,72.6,"Central America and the Caribbean"
"Ecuador",55,11.2,74.9,"South America"
"Egypt",17,16.8,75,"Africa"
"El Salvador",39,11.7,75.9,"Central America and the Caribbean"
